page_url,writer,date,title,content
https://www.ndtv.com/latest/page-1,NDTV Movies News Desk," Tuesday April 12, 2022","Wedding Or No Wedding, Neetu Kapoor Is Burning Up This Dance Floor",Riddhima Kapoor Sahni has replied with fire and heart emojis
https://www.ndtv.com/latest/page-1,carandbike team," Tuesday April 12, 2022                                                        
                                                        ","The New Age Baleno - Bold, Intelligent & Tech-Loaded","The new age Baleno is bold, intelligent, and loaded with best-in-class tech, in fact, it even offers the same level of performance, which impressed us in the first place. At a starting price of Rs. 6.35 lakh the Baleno offers a great value proposition."
https://www.ndtv.com/latest/page-1,Deepshikha Ghosh," Tuesday April 12, 2022","""Superb"": Sena Leader's Shout-Out To S Jaishankar On 'Russian Oil' Retort","Foreign Minister S Jaishankar's sharp remarks in the US on India's oil purchase from Russia amounting to ""less than that of Europe in an afternoon"" drew praise from the opposition today."
https://www.ndtv.com/latest/page-1,Sourabh Kulesh," Tuesday April 12, 2022                                                        
                                                        ","Realme Narzo 50A Prime India Launch Tipped for April 30, Could Debut in Two Configurations","Realme Narzo 50A Prime launch in India is set on April 30. It could be launched with two storage configurations as well as two colour options, as per a tipster."
https://www.ndtv.com/latest/page-1,Agence France-Presse," Tuesday April 12, 2022","Bracing For Fall, Ukraine Forces ""Pushed Back"" By Russia In Mariupol","Russia was poised Monday to take the strategic city of Mariupol and unleash a massive offensive in eastern Ukraine, as fresh diplomatic efforts with Moscow to broker a peace offered little hope of de-escalation."
https://www.ndtv.com/latest/page-1,Press Trust of India," Tuesday April 12, 2022                                                        
                                                        ",Mumbai City FC Become First Indian Club To Win A Match In AFC Asian Champions League,Mumbai City FC beat Air Force Club from Iraq 2-1 to script history as they became the first Indian club to win a match in the AFC Asian Champions League.
https://www.ndtv.com/latest/page-1,Prashun Talukdar," Tuesday April 12, 2022",Uber Raises Trip Fares By 12% In Delhi-NCR,Ride-hailing service Uber India has raised trip fares by 12 per cent in Delhi-NCR (National Capital Region) amid a recent spike in fuel rates.
https://www.ndtv.com/latest/page-1,Reuters," Tuesday April 12, 2022                                                        
                                                        ","China Ends Gaming Approval Freeze, Grants First Licences Since July 2021","China has finally put an end to the gaming approval freeze it started back in July last year. China's gaming regulator granted licences to companies such as Baidu, XD, iDreamSky, 37Games, Shenzhen Zqgame, and Yoozoo Games."
https://www.ndtv.com/latest/page-1,Pranita Chaubey," Tuesday April 12, 2022","Ranbir Kapoor, Alia Bhatt's Reported Wedding: After RK Studios, Krishna Raj Bungalow Lit Up","Ranbir, Alia Marriage: The Krishna Raj Bungalow is lit up and how"
https://www.ndtv.com/latest/page-1,Amit Chaturvedi," Tuesday April 12, 2022                                                        
                                                        ",Russian State TV Host Says Time To Help Trump Become US President: Report,Donald Trump faced criticism over his relationship with the Russian President when he occupied the US top office.
https://www.ndtv.com/latest/page-1,Arun Nair," Tuesday April 12, 2022","Fire Breaks Out At Delhi's Ram Lal Anand College, No Casualties Reported","A major fire broke out at Delhi University's Ram Lal Anand college this morning. The fire was reported from the college auditorium at around 9 am, officials said, adding no casualties were reported in the incident."
https://www.ndtv.com/latest/page-1,rashi.hardaha," Tuesday April 12, 2022                                                        
                                                        ","TS PGECET 2022 Registration Begins Today At Pgecet.tsche.ac.in; Check Exam Schedule, Details","TS PGECET 2022: The PGECET exam 2022 will be conducted by Osmania University, Hyderabad from July 29 to August 1 on behalf of the Telangana State Council of Higher Education (TSCHE)."
https://www.ndtv.com/latest/page-1,Apoorva Sinha," Tuesday April 12, 2022                                                        
                                                        ","Realme 9 4G to Go on Sale for the First Time in India Today: Price, Specifications","Realme 9 4G is set to go on sale in India for the first time today at 12pm (noon). Check out its price, availability, and specifications."
https://www.ndtv.com/latest/page-1,Reuters," Tuesday April 12, 2022                                                        
                                                        ","Epic Games Raises $2 Billion From Sony, Lego Parent Company to Build Out Metaverse","Sony, an existing investor, and Kirkbi each invested $1 billion (roughly Rs. 7,600 crore), Epic said."
